,period_open,period_close,long_value,long_exposure,transactions,starting_exposure,short_value,shorts_count,returns,pnl,gross_leverage,net_leverage,positions,capital_used,ending_value,ending_exposure,orders,portfolio_value,longs_count,starting_cash,ending_cash,short_exposure,starting_value,max_leverage,algorithm_period_return,sortino,trading_days,alpha,beta,treasury_period_return,sharpe,max_drawdown,period_label,excess_return,algo_volatility,benchmark_period_return,benchmark_volatility,weights
2020-12-15 21:00:00+00:00,2020-12-15 14:31:00+00:00,2020-12-15 21:00:00+00:00,0.0,0.0,[],0.0,0.0,0,0.0,0.0,0.0,0.0,[],0.0,0.0,0.0,[],10000000.0,0,10000000.0,10000000.0,0.0,0.0,0.0,0.0,,1,,,0.0,,0.0,2020-12,0.0,,0.0,,
2020-12-16 21:00:00+00:00,2020-12-16 14:31:00+00:00,2020-12-16 21:00:00+00:00,0.0,0.0,[],0.0,0.0,0,0.0,0.0,0.0,0.0,[],0.0,0.0,0.0,[],10000000.0,0,10000000.0,10000000.0,0.0,0.0,0.0,0.0,,2,,,0.0,,0.0,2020-12,0.0,0.0,0.0,0.0,
2020-12-17 21:00:00+00:00,2020-12-17 14:31:00+00:00,2020-12-17 21:00:00+00:00,0.0,0.0,[],0.0,0.0,0,0.0,0.0,0.0,0.0,[],0.0,0.0,0.0,[],10000000.0,0,10000000.0,10000000.0,0.0,0.0,0.0,0.0,,3,,,0.0,,0.0,2020-12,0.0,0.0,0.0,0.0,
2020-12-18 21:00:00+00:00,2020-12-18 14:31:00+00:00,2020-12-18 21:00:00+00:00,0.0,0.0,[],0.0,0.0,0,0.0,0.0,0.0,0.0,[],0.0,0.0,0.0,[],10000000.0,0,10000000.0,10000000.0,0.0,0.0,0.0,0.0,,4,,,0.0,,0.0,2020-12,0.0,0.0,0.0,0.0,
2020-12-21 21:00:00+00:00,2020-12-21 14:31:00+00:00,2020-12-21 21:00:00+00:00,0.0,0.0,[],0.0,0.0,0,0.0,0.0,0.0,0.0,[],0.0,0.0,0.0,"[{'id': 'a7055bd935d94c478c15ed58f146214e', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -6550, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '3b194993df804fa7aa373103b0bad5a7', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 5686, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'de576eac51a24849b4d96bb51f74e8e3', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -5141, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '4d93dcaa00ae4227af252f2de03ebcff', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 47847, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'd549643966b943029055b27e324c1386', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 145371, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",10000000.0,0,10000000.0,10000000.0,0.0,0.0,0.0,0.0,,5,,,0.0,,0.0,2020-12,0.0,0.0,0.0,0.0,"[-0.032136496156454086, 0.20919646322727203, -0.04341764748096466, 0.6549878716468811, 0.21136978268623352]"
2020-12-22 21:00:00+00:00,2020-12-22 14:31:00+00:00,2020-12-22 21:00:00+00:00,10746519.31,10746519.31,"[{'amount': -6550, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 48.675650000000005, 'order_id': 'a7055bd935d94c478c15ed58f146214e', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 5686, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 367.42362, 'order_id': '3b194993df804fa7aa373103b0bad5a7', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': -5141, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 84.99748000000001, 'order_id': 'de576eac51a24849b4d96bb51f74e8e3', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 47847, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 137.338635, 'order_id': '4d93dcaa00ae4227af252f2de03ebcff', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 145371, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 14.38719, 'order_id': 'd549643966b943029055b27e324c1386', 'sid': Equity(0 [DBC]), 'commission': None}]",0.0,-756175.64,2,-0.00057513474750015,-5751.3474750015885,1.1509314356606388,0.9996092770291429,"[{'sid': Equity(4 [VWO]), 'amount': -6550, 'cost_basis': 48.675650000000005, 'last_sale_price': 48.7}, {'sid': Equity(2 [SPY]), 'amount': 5686, 'cost_basis': 367.42362, 'last_sale_price': 367.24}, {'sid': Equity(3 [VNQ]), 'amount': -5141, 'cost_basis': 84.99748000000001, 'last_sale_price': 85.04}, {'sid': Equity(1 [LQD]), 'amount': 47847, 'cost_basis': 137.338635, 'last_sale_price': 137.27}, {'sid': Equity(0 [DBC]), 'amount': 145371, 'cost_basis': 14.38719, 'last_sale_price': 14.38}]",-9996095.017475002,9990343.67,9990343.67,"[{'id': 'a7055bd935d94c478c15ed58f146214e', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -6550, 'filled': -6550, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '3b194993df804fa7aa373103b0bad5a7', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 5686, 'filled': 5686, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'de576eac51a24849b4d96bb51f74e8e3', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -5141, 'filled': -5141, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '4d93dcaa00ae4227af252f2de03ebcff', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 47847, 'filled': 47847, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'd549643966b943029055b27e324c1386', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 145371, 'filled': 145371, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",9994248.652524998,3,10000000.0,3904.982524998486,-756175.64,0.0,1.1509314356606388,-0.00057513474750015,-6.4807406984078595,6,,,0.0,-6.480740698407861,-0.0005751347475001011,2020-12,0.0,0.0037272991651927504,0.0,0.0,"[-0.032136496156454086, 0.20919646322727203, -0.04341764748096466, 0.6549878716468811, 0.21136978268623352]"
2020-12-23 21:00:00+00:00,2020-12-23 14:31:00+00:00,2020-12-23 21:00:00+00:00,10775997.88,10775997.88,[],9990343.67,-756623.09,2,0.002904782641431236,29031.120000001043,1.150583564634431,0.9996104087071677,"[{'sid': Equity(4 [VWO]), 'amount': -6550, 'cost_basis': 48.675650000000005, 'last_sale_price': 49.2}, {'sid': Equity(2 [SPY]), 'amount': 5686, 'cost_basis': 367.42362, 'last_sale_price': 367.57}, {'sid': Equity(3 [VNQ]), 'amount': -5141, 'cost_basis': 84.99748000000001, 'last_sale_price': 84.49}, {'sid': Equity(1 [LQD]), 'amount': 47847, 'cost_basis': 137.338635, 'last_sale_price': 137.3}, {'sid': Equity(0 [DBC]), 'amount': 145371, 'cost_basis': 14.38719, 'last_sale_price': 14.56}]",0.0,10019374.790000001,10019374.790000001,[],10023279.772525,3,3904.982524998486,3904.982524998486,-756623.09,9990343.67,1.1509314356606388,0.002327977252500002,24.303673920489164,7,,,0.0,4.577277836210735,-0.0005751347475001011,2020-12,0.0,0.018322532995058052,0.0,0.0,"[-0.032136496156454086, 0.20919646322727203, -0.04341764748096466, 0.6549878716468811, 0.21136978268623352]"
2020-12-24 18:00:00+00:00,2020-12-24 14:31:00+00:00,2020-12-24 18:00:00+00:00,10812431.790000001,10812431.790000001,[],10019374.790000001,-751653.08,2,0.004130775648255591,41403.919999999925,1.14897648284651,0.9996120114010241,"[{'sid': Equity(4 [VWO]), 'amount': -6550, 'cost_basis': 48.675650000000005, 'last_sale_price': 48.92}, {'sid': Equity(2 [SPY]), 'amount': 5686, 'cost_basis': 367.42362, 'last_sale_price': 369.0}, {'sid': Equity(3 [VNQ]), 'amount': -5141, 'cost_basis': 84.99748000000001, 'last_sale_price': 83.88}, {'sid': Equity(1 [LQD]), 'amount': 47847, 'cost_basis': 137.338635, 'last_sale_price': 137.77}, {'sid': Equity(0 [DBC]), 'amount': 145371, 'cost_basis': 14.38719, 'last_sale_price': 14.6}]",0.0,10060778.71,10060778.71,[],10064683.692525,3,3904.982524998486,3904.982524998486,-751653.08,10019374.790000001,1.1509314356606388,0.006468369252499828,63.04442108578585,8,,,0.0,7.4701895322465806,-0.0005751347475001011,2020-12,0.0,0.027242058678754684,0.0,0.0,"[-0.032136496156454086, 0.20919646322727203, -0.04341764748096466, 0.6549878716468811, 0.21136978268623352]"
2020-12-28 21:00:00+00:00,2020-12-28 14:31:00+00:00,2020-12-28 21:00:00+00:00,10821679.25,10821679.25,[],10060778.71,-754878.58,2,0.0005983258077422171,6021.959999999031,1.1495279704751815,0.9996122434058016,"[{'sid': Equity(4 [VWO]), 'amount': -6550, 'cost_basis': 48.675650000000005, 'last_sale_price': 49.02}, {'sid': Equity(2 [SPY]), 'amount': 5686, 'cost_basis': 367.42362, 'last_sale_price': 372.17}, {'sid': Equity(3 [VNQ]), 'amount': -5141, 'cost_basis': 84.99748000000001, 'last_sale_price': 84.38}, {'sid': Equity(1 [LQD]), 'amount': 47847, 'cost_basis': 137.338635, 'last_sale_price': 137.86}, {'sid': Equity(0 [DBC]), 'amount': 145371, 'cost_basis': 14.38719, 'last_sale_price': 14.51}]",0.0,10066800.67,10066800.67,"[{'id': '4087296101d243148ad4a24a54b10f2a', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -28305, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'e740253f5dc248ee8ca42e2c6b293ca8', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 1473, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '0c77e73352c9403a936e933a3d6be105', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 3313, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '23c72203e10d4ce68f4bcccd73b70ed7', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 12203, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '2ab819b2025e49dcb71d6d91763c9d8f', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -77113, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",10070705.652524998,3,3904.982524998486,3904.982524998486,-754878.58,10060778.71,1.1509314356606388,0.0070705652524998275,64.94372120003348,9,,,0.0,7.748762400251102,-0.0005751347475001011,2020-12,0.0,0.02550665146109065,0.0,0.0,"[-0.16966266930103302, 0.2645837366580963, -0.015309475362300873, 0.8220419883728027, 0.09834641963243484]"
2020-12-29 21:00:00+00:00,2020-12-29 14:31:00+00:00,2020-12-29 21:00:00+00:00,11934532.040000001,11934532.040000001,"[{'amount': -28305, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 49.525225000000006, 'order_id': '4087296101d243148ad4a24a54b10f2a', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 1473, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 371.64572999999996, 'order_id': 'e740253f5dc248ee8ca42e2c6b293ca8', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 3313, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 83.70183, 'order_id': '0c77e73352c9403a936e933a3d6be105', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 12203, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 137.98896000000002, 'order_id': '23c72203e10d4ce68f4bcccd73b70ed7', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': -77113, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 14.542725, 'order_id': '2ab819b2025e49dcb71d6d91763c9d8f', 'sid': Equity(0 [DBC]), 'commission': None}]",10066800.67,-1879995.7300000002,2,0.00023460963625798748,2362.684590000659,1.3714319517816935,0.9981602401080993,"[{'sid': Equity(4 [VWO]), 'amount': -34855, 'cost_basis': 49.3655716862717, 'last_sale_price': 49.550000000000004}, {'sid': Equity(2 [SPY]), 'amount': 7159, 'cost_basis': 368.2923402165107, 'last_sale_price': 371.46}, {'sid': Equity(3 [VNQ]), 'amount': -1828, 'cost_basis': 84.99748000000001, 'last_sale_price': 83.66}, {'sid': Equity(1 [LQD]), 'amount': 60050, 'cost_basis': 137.4707901369692, 'last_sale_price': 137.92000000000002}, {'sid': Equity(0 [DBC]), 'amount': 68258, 'cost_basis': 14.38719, 'last_sale_price': 14.55}]",14627.044590000063,10054536.31,10054536.31,"[{'id': '4087296101d243148ad4a24a54b10f2a', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -28305, 'filled': -28305, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'e740253f5dc248ee8ca42e2c6b293ca8', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 1473, 'filled': 1473, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '0c77e73352c9403a936e933a3d6be105', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 3313, 'filled': 3313, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '23c72203e10d4ce68f4bcccd73b70ed7', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 12203, 'filled': 12203, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '2ab819b2025e49dcb71d6d91763c9d8f', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -77113, 'filled': -77113, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",10073068.337115,3,3904.982524998486,18532.027114998316,-1879995.7300000002,10066800.67,1.3714319517816935,0.007306833711499872,63.6587716123418,10,,,0.0,7.5929475383518525,-0.0005751347475001011,2020-12,0.0,0.024205704770588206,0.0,0.0,"[-0.16966266930103302, 0.2645837366580963, -0.015309475362300873, 0.8220419883728027, 0.09834641963243484]"
