,period_open,period_close,ending_exposure,starting_value,short_exposure,short_value,shorts_count,ending_value,starting_exposure,returns,positions,long_exposure,orders,portfolio_value,longs_count,ending_cash,transactions,capital_used,net_leverage,long_value,gross_leverage,pnl,starting_cash,period_label,alpha,beta,max_drawdown,trading_days,sharpe,treasury_period_return,sortino,algorithm_period_return,max_leverage,benchmark_period_return,benchmark_volatility,algo_volatility,excess_return,weights
2020-12-15 21:00:00+00:00,2020-12-15 14:31:00+00:00,2020-12-15 21:00:00+00:00,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],0.0,[],10000000.0,0,10000000.0,[],0.0,0.0,0.0,0.0,0.0,10000000.0,2020-12,,,0.0,1,,0.0,,0.0,0.0,0.0,,,0.0,
2020-12-16 21:00:00+00:00,2020-12-16 14:31:00+00:00,2020-12-16 21:00:00+00:00,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],0.0,[],10000000.0,0,10000000.0,[],0.0,0.0,0.0,0.0,0.0,10000000.0,2020-12,,,0.0,2,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2020-12-17 21:00:00+00:00,2020-12-17 14:31:00+00:00,2020-12-17 21:00:00+00:00,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],0.0,[],10000000.0,0,10000000.0,[],0.0,0.0,0.0,0.0,0.0,10000000.0,2020-12,,,0.0,3,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2020-12-18 21:00:00+00:00,2020-12-18 14:31:00+00:00,2020-12-18 21:00:00+00:00,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],0.0,[],10000000.0,0,10000000.0,[],0.0,0.0,0.0,0.0,0.0,10000000.0,2020-12,,,0.0,4,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
2020-12-21 21:00:00+00:00,2020-12-21 14:31:00+00:00,2020-12-21 21:00:00+00:00,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,[],0.0,"[{'id': '4392550bc22748f0a8132d9610ffb8cb', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -63791, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '86cb1985882847e097f71abc89bf06f8', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 27183, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '22eb666a84324c9d95404bb49f43b300', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -49368, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'dd8180c57c164c88ac0334e5d7615473', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 23924, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '3cdbd99ee9664c90bcd08d056e803c54', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 276749, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",10000000.0,0,10000000.0,[],0.0,0.0,0.0,0.0,0.0,10000000.0,2020-12,,,0.0,5,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,"[-0.31295904517173767, 0.9999812841415405, -0.41691717505455017, 0.3275013864040375, 0.40239354968070984]"
2020-12-22 21:00:00+00:00,2020-12-22 14:31:00+00:00,2020-12-22 21:00:00+00:00,8168035.579999999,0.0,-7304876.420000001,-7304876.420000001,2,8168035.579999999,0.0,-0.0011388894209999334,"[{'sid': Equity(4 [VWO]), 'amount': -63791, 'cost_basis': 48.675650000000005, 'last_sale_price': 48.7}, {'sid': Equity(2 [SPY]), 'amount': 27183, 'cost_basis': 367.42362, 'last_sale_price': 367.24}, {'sid': Equity(3 [VNQ]), 'amount': -49368, 'cost_basis': 84.99748000000001, 'last_sale_price': 85.04}, {'sid': Equity(1 [LQD]), 'amount': 23924, 'cost_basis': 137.338635, 'last_sale_price': 137.27}, {'sid': Equity(0 [DBC]), 'amount': 153420, 'cost_basis': 14.387190000000002, 'last_sale_price': 14.38}]",15472912.0,"[{'id': '4392550bc22748f0a8132d9610ffb8cb', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -63791, 'filled': -63791, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '86cb1985882847e097f71abc89bf06f8', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 27183, 'filled': 27183, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '22eb666a84324c9d95404bb49f43b300', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -49368, 'filled': -49368, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'dd8180c57c164c88ac0334e5d7615473', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 23924, 'filled': 23924, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '3cdbd99ee9664c90bcd08d056e803c54', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 276749, 'filled': 153420, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",9988611.10579,3,1820575.5257900003,"[{'amount': -63791, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 48.675650000000005, 'order_id': '4392550bc22748f0a8132d9610ffb8cb', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 27183, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 367.42362, 'order_id': '86cb1985882847e097f71abc89bf06f8', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': -49368, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 84.99748000000001, 'order_id': '22eb666a84324c9d95404bb49f43b300', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 23924, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 137.338635, 'order_id': 'dd8180c57c164c88ac0334e5d7615473', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 153420, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 14.38719, 'order_id': '3cdbd99ee9664c90bcd08d056e803c54', 'sid': Equity(0 [DBC]), 'commission': None}]",-8179424.47421,0.8177348675898808,15472912.0,2.2803759380317272,-11388.894209999591,10000000.0,2020-12,,,-0.0011388894209999024,6,-6.48074069840786,0.0,-6.4807406984078595,-0.0011388894209999334,2.2803759380317272,0.0,0.0,0.0073808470216604315,0.0,"[-0.31295904517173767, 0.9999812841415405, -0.41691717505455017, 0.3275013864040375, 0.40239354968070984]"
2020-12-23 21:00:00+00:00,2020-12-23 14:31:00+00:00,2020-12-23 21:00:00+00:00,9996266.430000003,8168035.579999999,-7309619.52,-7309619.52,2,9996266.430000003,8168035.579999999,0.0031698876394987696,"[{'sid': Equity(4 [VWO]), 'amount': -63791, 'cost_basis': 48.675650000000005, 'last_sale_price': 49.2}, {'sid': Equity(2 [SPY]), 'amount': 27183, 'cost_basis': 367.42362, 'last_sale_price': 367.57}, {'sid': Equity(3 [VNQ]), 'amount': -49368, 'cost_basis': 84.99748000000001, 'last_sale_price': 84.49}, {'sid': Equity(1 [LQD]), 'amount': 23924, 'cost_basis': 137.338635, 'last_sale_price': 137.3}, {'sid': Equity(0 [DBC]), 'amount': 276749, 'cost_basis': 14.467444380720437, 'last_sale_price': 14.56}]",17305885.950000003,"[{'id': '3cdbd99ee9664c90bcd08d056e803c54', 'dt': Timestamp('2020-12-23 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 276749, 'filled': 276749, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",10020273.880670004,3,24007.4506700004,"[{'amount': 123329, 'dt': Timestamp('2020-12-23 21:00:00+0000', tz='UTC'), 'price': 14.56728, 'order_id': '3cdbd99ee9664c90bcd08d056e803c54', 'sid': Equity(0 [DBC]), 'commission': None}]",-1796568.0751200002,0.9976041123270779,17305885.950000003,2.456570126040716,31662.774880003184,1820575.5257900003,2020-12,,,-0.0011388894209999024,7,3.440031761899423,0.0,10.699888054358992,0.002027388067000535,2.456570126040716,0.0,0.0,0.021254436274619433,0.0,"[-0.31295904517173767, 0.9999812841415405, -0.41691717505455017, 0.3275013864040375, 0.40239354968070984]"
2020-12-24 18:00:00+00:00,2020-12-24 14:31:00+00:00,2020-12-24 18:00:00+00:00,10105428.319999998,9996266.430000003,-7261643.5600000005,-7261643.5600000005,2,10105428.319999998,9996266.430000003,0.010894102426738828,"[{'sid': Equity(4 [VWO]), 'amount': -63791, 'cost_basis': 48.675650000000005, 'last_sale_price': 48.92}, {'sid': Equity(2 [SPY]), 'amount': 27183, 'cost_basis': 367.42362, 'last_sale_price': 369.0}, {'sid': Equity(3 [VNQ]), 'amount': -49368, 'cost_basis': 84.99748000000001, 'last_sale_price': 83.88}, {'sid': Equity(1 [LQD]), 'amount': 23924, 'cost_basis': 137.338635, 'last_sale_price': 137.77}, {'sid': Equity(0 [DBC]), 'amount': 276749, 'cost_basis': 14.467444380720437, 'last_sale_price': 14.6}]",17367071.88,[],10129435.770669999,3,24007.4506700004,[],0.0,0.9976299320896516,17367071.88,2.431400523937669,109161.88999999501,24007.4506700004,2020-12,,,-0.0011388894209999024,8,6.495198324057863,0.0,63.69533873831588,0.012943577067000112,2.456570126040716,0.0,0.0,0.06268333159542788,0.0,"[-0.31295904517173767, 0.9999812841415405, -0.41691717505455017, 0.3275013864040375, 0.40239354968070984]"
2020-12-28 21:00:00+00:00,2020-12-28 14:31:00+00:00,2020-12-28 21:00:00+00:00,10137781.080000002,10105428.319999998,-7292706.66,-7292706.66,2,10137781.080000002,10105428.319999998,0.0031939350554630597,"[{'sid': Equity(4 [VWO]), 'amount': -63791, 'cost_basis': 48.675650000000005, 'last_sale_price': 49.02}, {'sid': Equity(2 [SPY]), 'amount': 27183, 'cost_basis': 367.42362, 'last_sale_price': 372.17}, {'sid': Equity(3 [VNQ]), 'amount': -49368, 'cost_basis': 84.99748000000001, 'last_sale_price': 84.38}, {'sid': Equity(1 [LQD]), 'amount': 23924, 'cost_basis': 137.338635, 'last_sale_price': 137.86}, {'sid': Equity(0 [DBC]), 'amount': 276749, 'cost_basis': 14.467444380720437, 'last_sale_price': 14.51}]",17430487.740000002,"[{'id': '56386869f84d4e918e03c891bd01d8e3', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 59098, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'ce7974cb61664dac8c846301b4e66a02', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -26222, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '0d6b9adf361b4961af8f1115c5c58ebe', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 59586, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '2d8b15aa97d043be98164c463af4e52e', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 49784, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '9b3a32bbe05d465f8ca73b1ee48e5240', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -344928, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",10161788.530670002,3,24007.4506700004,[],0.0,0.9976374778320232,17430487.740000002,2.4329569863987235,32352.7600000035,24007.4506700004,2020-12,,,-0.0011388894209999024,9,7.620434902450834,0.0,74.89218716384647,0.01617885306700062,2.456570126040716,0.0,0.0,0.059226672151541586,0.0,"[-0.022635065019130707, 0.035167936235666275, 0.08485354483127594, 0.9999669790267944, -0.09735334664583206]"
2020-12-29 21:00:00+00:00,2020-12-29 14:31:00+00:00,2020-12-29 21:00:00+00:00,13258453.1,10137781.080000002,-232538.15000000002,-232538.15000000002,1,13258453.1,10137781.080000002,-0.0017984446807608467,"[{'sid': Equity(4 [VWO]), 'amount': -4693, 'cost_basis': 48.675650000000005, 'last_sale_price': 49.550000000000004}, {'sid': Equity(2 [SPY]), 'amount': 961, 'cost_basis': 367.42362, 'last_sale_price': 371.46}, {'sid': Equity(3 [VNQ]), 'amount': 10218, 'cost_basis': 83.70183, 'last_sale_price': 83.66}, {'sid': Equity(1 [LQD]), 'amount': 73708, 'cost_basis': 137.7778787700114, 'last_sale_price': 137.92000000000002}, {'sid': Equity(0 [DBC]), 'amount': 145249, 'cost_basis': 14.467444380720437, 'last_sale_price': 14.55}]",13490991.25,"[{'id': '56386869f84d4e918e03c891bd01d8e3', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 59098, 'filled': 59098, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'ce7974cb61664dac8c846301b4e66a02', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -26222, 'filled': -26222, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '0d6b9adf361b4961af8f1115c5c58ebe', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 59586, 'filled': 59586, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '2d8b15aa97d043be98164c463af4e52e', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 49784, 'filled': 49784, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '9b3a32bbe05d465f8ca73b1ee48e5240', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -344928, 'filled': -131500, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",10143513.11614,4,-3114939.983859999,"[{'amount': 59098, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 49.574775, 'order_id': '56386869f84d4e918e03c891bd01d8e3', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': -26222, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 371.27427, 'order_id': 'ce7974cb61664dac8c846301b4e66a02', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 59586, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 83.70183, 'order_id': '0d6b9adf361b4961af8f1115c5c58ebe', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 49784, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 137.98896000000002, 'order_id': '2d8b15aa97d043be98164c463af4e52e', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': -131500, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 14.542725, 'order_id': '9b3a32bbe05d465f8ca73b1ee48e5240', 'sid': Equity(0 [DBC]), 'commission': None}]",-3138947.4345299993,1.30708689861145,13490991.25,1.352936526316864,-18275.41453000158,24007.4506700004,2020-12,,,-0.0017984446807607947,10,6.150499692729258,0.0,33.770815145357645,0.014351311614000606,2.456570126040716,0.0,0.0,0.05867472753947029,0.0,"[-0.022635065019130707, 0.035167936235666275, 0.08485354483127594, 0.9999669790267944, -0.09735334664583206]"
