,period_open,period_close,positions,net_leverage,capital_used,short_exposure,ending_cash,returns,orders,short_value,long_value,portfolio_value,starting_value,starting_exposure,ending_value,transactions,long_exposure,shorts_count,longs_count,pnl,ending_exposure,starting_cash,gross_leverage,treasury_period_return,benchmark_period_return,benchmark_volatility,trading_days,sortino,alpha,beta,algorithm_period_return,algo_volatility,excess_return,sharpe,max_leverage,max_drawdown,period_label,weights
2017-12-15 21:00:00+00:00,2017-12-15 14:31:00+00:00,2017-12-15 21:00:00+00:00,[],0.0,0.0,0.0,10000000.0,0.0,[],0.0,0.0,10000000.0,0.0,0.0,0.0,[],0.0,0,0,0.0,0.0,10000000.0,0.0,0.0,0.0,,1,,,,0.0,,0.0,,0.0,0.0,2017-12,
2017-12-18 21:00:00+00:00,2017-12-18 14:31:00+00:00,2017-12-18 21:00:00+00:00,[],0.0,0.0,0.0,10000000.0,0.0,"[{'id': '564bec7e066e4fcb80c6dee4d6fa077e', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -68118, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'e4b9c74d2cfb4559b9656851f9977fa9', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 37286, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '0481ba03a91c423ca51f087ed9175263', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -55731, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '4c5d41e2f2de4a05a596ad8b8c609b78', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 82353, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '6b6bcb473ced4f6b95f6342570da4c45', 'dt': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -136381, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",0.0,0.0,10000000.0,0.0,0.0,0.0,[],0.0,0,0,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,2,,,,0.0,0.0,0.0,,0.0,0.0,2017-12,"[-0.3057824373245239, 1.0000265836715698, -0.47728288173675537, 1.0000221729278564, -0.21698348224163055]"
2017-12-19 21:00:00+00:00,2017-12-19 14:31:00+00:00,2017-12-19 21:00:00+00:00,"[{'sid': Equity(4 [VWO]), 'amount': -68118, 'cost_basis': 44.747615, 'last_sale_price': 44.77}, {'sid': Equity(2 [SPY]), 'amount': 37286, 'cost_basis': 267.303585, 'last_sale_price': 267.17}, {'sid': Equity(3 [VNQ]), 'amount': -55731, 'cost_basis': 83.77809, 'last_sale_price': 83.82000000000001}, {'sid': Equity(1 [LQD]), 'amount': 82353, 'cost_basis': 120.870405, 'last_sale_price': 120.81}, {'sid': Equity(0 [DBC]), 'amount': -136381, 'cost_basis': 16.021985, 'last_sale_price': 16.03}]",1.001850040685815,-10018472.824630002,-9907202.71,-18472.824630001094,-0.001490898463000212,"[{'id': '564bec7e066e4fcb80c6dee4d6fa077e', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -68118, 'filled': -68118, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'e4b9c74d2cfb4559b9656851f9977fa9', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 37286, 'filled': 37286, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '0481ba03a91c423ca51f087ed9175263', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -55731, 'filled': -55731, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '4c5d41e2f2de4a05a596ad8b8c609b78', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': 82353, 'filled': 82353, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '6b6bcb473ced4f6b95f6342570da4c45', 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-18 21:00:00+0000', tz='UTC'), 'amount': -136381, 'filled': -136381, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",-9907202.71,19910766.55,9985091.015369998,0.0,0.0,10003563.84,"[{'amount': -68118, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 44.747615, 'order_id': '564bec7e066e4fcb80c6dee4d6fa077e', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 37286, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 267.303585, 'order_id': 'e4b9c74d2cfb4559b9656851f9977fa9', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': -55731, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 83.77809, 'order_id': '0481ba03a91c423ca51f087ed9175263', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 82353, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 120.870405, 'order_id': '4c5d41e2f2de4a05a596ad8b8c609b78', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': -136381, 'dt': Timestamp('2017-12-19 21:00:00+0000', tz='UTC'), 'price': 16.021985, 'order_id': '6b6bcb473ced4f6b95f6342570da4c45', 'sid': Equity(0 [DBC]), 'commission': None}]",19910766.55,3,2,-14908.984630001709,10003563.84,10000000.0,2.986249120223477,0.0,0.0,0.0,3,-9.16515138991168,,,-0.001490898463000212,0.013664310120383582,0.0,-9.165151389911678,2.986249120223477,-0.0014908984630001498,2017-12,"[-0.3057824373245239, 1.0000265836715698, -0.47728288173675537, 1.0000221729278564, -0.21698348224163055]"
2017-12-20 21:00:00+00:00,2017-12-20 14:31:00+00:00,2017-12-20 21:00:00+00:00,"[{'sid': Equity(4 [VWO]), 'amount': -68118, 'cost_basis': 44.747615, 'last_sale_price': 44.83}, {'sid': Equity(2 [SPY]), 'amount': 37286, 'cost_basis': 267.303585, 'last_sale_price': 267.03000000000003}, {'sid': Equity(3 [VNQ]), 'amount': -55731, 'cost_basis': 83.77809, 'last_sale_price': 82.85000000000001}, {'sid': Equity(1 [LQD]), 'amount': 82353, 'cost_basis': 120.870405, 'last_sale_price': 120.49000000000001}, {'sid': Equity(0 [DBC]), 'amount': -136381, 'cost_basis': 16.021985, 'last_sale_price': 16.12}]",1.0018489065951788,0.0,-9869505.010000002,-18472.824630001094,0.0006133844939997246,[],-9869505.010000002,19879193.550000004,9991215.715370001,10003563.84,10003563.84,10009688.540000003,[],19879193.550000004,3,2,6124.70000000298,10009688.540000003,-18472.824630001094,2.977485363891809,0.0,0.0,0.0,4,-4.671713986387418,,,-0.0008784284629997918,0.014217838447973287,0.0,-3.8883111697552875,2.986249120223477,-0.0014908984630001498,2017-12,"[-0.3057824373245239, 1.0000265836715698, -0.47728288173675537, 1.0000221729278564, -0.21698348224163055]"
2017-12-21 21:00:00+00:00,2017-12-21 14:31:00+00:00,2017-12-21 21:00:00+00:00,"[{'sid': Equity(4 [VWO]), 'amount': -68118, 'cost_basis': 44.747615, 'last_sale_price': 45.06}, {'sid': Equity(2 [SPY]), 'amount': 37286, 'cost_basis': 267.303585, 'last_sale_price': 267.58}, {'sid': Equity(3 [VNQ]), 'amount': -55731, 'cost_basis': 83.77809, 'last_sale_price': 81.27}, {'sid': Equity(1 [LQD]), 'amount': 82353, 'cost_basis': 120.870405, 'last_sale_price': 120.56}, {'sid': Equity(0 [DBC]), 'amount': -136381, 'cost_basis': 16.021985, 'last_sale_price': 16.13}]",1.0018310752941502,0.0,-9798480.98,-18472.824630001094,0.009738158275405917,[],-9798480.98,19905465.56,10088511.755369997,10009688.540000003,10009688.540000003,10106984.579999998,[],19905465.56,3,2,97296.03999999538,10106984.579999998,-18472.824630001094,2.9443338383571724,0.0,0.0,0.0,5,42.19223235970652,,,0.008851175536999767,0.07175582301773344,0.0,6.223557256565347,2.986249120223477,-0.0014908984630001498,2017-12,"[-0.3057824373245239, 1.0000265836715698, -0.47728288173675537, 1.0000221729278564, -0.21698348224163055]"
2017-12-22 21:00:00+00:00,2017-12-22 14:31:00+00:00,2017-12-22 21:00:00+00:00,"[{'sid': Equity(4 [VWO]), 'amount': -68118, 'cost_basis': 44.747615, 'last_sale_price': 45.43}, {'sid': Equity(2 [SPY]), 'amount': 37286, 'cost_basis': 267.303585, 'last_sale_price': 267.51}, {'sid': Equity(3 [VNQ]), 'amount': -55731, 'cost_basis': 83.77809, 'last_sale_price': 81.83}, {'sid': Equity(1 [LQD]), 'amount': 82353, 'cost_basis': 120.870405, 'last_sale_price': 120.65}, {'sid': Equity(0 [DBC]), 'amount': -136381, 'cost_basis': 16.021985, 'last_sale_price': 16.2}]",1.0018422432248961,0.0,-9864440.669999998,-18472.824630001094,-0.006062136961622722,[],-9864440.669999998,19910267.310000002,10027353.815370003,10106984.579999998,10106984.579999998,10045826.640000004,[],19910267.310000002,3,2,-61157.93999999389,10045826.640000004,-18472.824630001094,2.9693484969445385,0.0,0.0,0.0,6,2.9051808567439226,,,0.00273538153700037,0.0818345818764073,0.0,1.436279208444999,2.986249120223477,-0.00606213696162274,2017-12,"[-0.3057824373245239, 1.0000265836715698, -0.47728288173675537, 1.0000221729278564, -0.21698348224163055]"
2017-12-26 21:00:00+00:00,2017-12-26 14:31:00+00:00,2017-12-26 21:00:00+00:00,"[{'sid': Equity(4 [VWO]), 'amount': -68118, 'cost_basis': 44.747615, 'last_sale_price': 45.480000000000004}, {'sid': Equity(2 [SPY]), 'amount': 37286, 'cost_basis': 267.303585, 'last_sale_price': 267.19}, {'sid': Equity(3 [VNQ]), 'amount': -55731, 'cost_basis': 83.77809, 'last_sale_price': 82.24}, {'sid': Equity(1 [LQD]), 'amount': 82353, 'cost_basis': 120.870405, 'last_sale_price': 120.81}, {'sid': Equity(0 [DBC]), 'amount': -136381, 'cost_basis': 16.021985, 'last_sale_price': 16.44}]",1.0018529131463558,0.0,-9923427.72,-18472.824630001094,-0.005758457421887075,"[{'id': '00ac886d2d25460b85798513bf806f97', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 117267, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '1688c6936f014c859a99e090e51bcdae', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -8324, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '9bf4ad99386845eca3b2f3255c8f78e0', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -2233, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '58b617c2a08a46229bf783a2b37e20b7', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -15857, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '9f0a2e8009a44071b0e47d3f57837294', 'dt': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -62542, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",-9923427.72,19911512.27,9969611.725369997,10045826.640000004,10045826.640000004,9988084.549999999,[],19911512.27,3,2,-57742.09000000544,9988084.549999999,-18472.824630001094,2.992587957470606,0.0,0.0,0.0,7,-2.0910831596773916,,,-0.0030388274630001044,0.08352074956626102,0.0,-1.2758291003030273,2.992587957470606,-0.01178568582593051,2017-12,"[0.22421501576900482, 0.7761840224266052, -0.4781540632247925, 0.8057823181152344, -0.32802727818489075]"
2017-12-27 21:00:00+00:00,2017-12-27 14:31:00+00:00,2017-12-27 21:00:00+00:00,"[{'sid': Equity(4 [VWO]), 'amount': 49149, 'cost_basis': 45.492734999999996, 'last_sale_price': 45.47}, {'sid': Equity(2 [SPY]), 'amount': 28962, 'cost_basis': 267.303585, 'last_sale_price': 267.32}, {'sid': Equity(3 [VNQ]), 'amount': -57964, 'cost_basis': 83.72764890923678, 'last_sale_price': 82.51}, {'sid': Equity(1 [LQD]), 'amount': 66496, 'cost_basis': 120.870405, 'last_sale_price': 121.48}, {'sid': Equity(0 [DBC]), 'amount': -198923, 'cost_basis': 16.163395636527703, 'last_sale_price': 16.48}]",0.9989540228376381,28937.266240000725,-8060860.680000001,10464.441609999281,0.0034959221281718467,"[{'id': '00ac886d2d25460b85798513bf806f97', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': 117267, 'filled': 117267, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '1688c6936f014c859a99e090e51bcdae', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -8324, 'filled': -8324, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '9bf4ad99386845eca3b2f3255c8f78e0', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -2233, 'filled': -2233, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '58b617c2a08a46229bf783a2b37e20b7', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -15857, 'filled': -15857, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '9f0a2e8009a44071b0e47d3f57837294', 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-26 21:00:00+0000', tz='UTC'), 'amount': -62542, 'filled': -62542, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",-8060860.680000001,18054860.95,10004464.711609999,9988084.549999999,9988084.549999999,9994000.27,"[{'amount': 117267, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 45.492734999999996, 'order_id': '00ac886d2d25460b85798513bf806f97', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': -8324, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 267.18634, 'order_id': '1688c6936f014c859a99e090e51bcdae', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': -2233, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 82.468745, 'order_id': '9bf4ad99386845eca3b2f3255c8f78e0', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': -15857, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 121.41926000000001, 'order_id': '58b617c2a08a46229bf783a2b37e20b7', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': -62542, 'dt': Timestamp('2017-12-27 21:00:00+0000', tz='UTC'), 'price': 16.47176, 'order_id': '9f0a2e8009a44071b0e47d3f57837294', 'sid': Equity(0 [DBC]), 'commission': None}]",18054860.95,2,3,34852.986240001395,9994000.27,-18472.824630001094,2.6104066916936777,0.0,0.0,0.0,8,0.3541873843698063,,,0.0004464711610001615,0.08039230822619657,0.0,0.21000914118701816,2.992587957470606,-0.01178568582593051,2017-12,"[0.22421501576900482, 0.7761840224266052, -0.4781540632247925, 0.8057823181152344, -0.32802727818489075]"
2017-12-28 21:00:00+00:00,2017-12-28 14:31:00+00:00,2017-12-28 21:00:00+00:00,"[{'sid': Equity(4 [VWO]), 'amount': 49149, 'cost_basis': 45.492734999999996, 'last_sale_price': 45.69}, {'sid': Equity(2 [SPY]), 'amount': 28962, 'cost_basis': 267.303585, 'last_sale_price': 267.87}, {'sid': Equity(3 [VNQ]), 'amount': -57964, 'cost_basis': 83.72764890923678, 'last_sale_price': 82.95}, {'sid': Equity(1 [LQD]), 'amount': 66496, 'cost_basis': 120.870405, 'last_sale_price': 121.4}, {'sid': Equity(0 [DBC]), 'amount': -198923, 'cost_basis': 16.163395636527703, 'last_sale_price': 16.56}]",0.9989519280692205,0.0,-8102278.68,10464.441609999281,-0.001998687643607333,[],-8102278.68,18076283.15,9984468.911609998,9994000.27,9994000.27,9974004.469999999,[],18076283.15,2,3,-19995.800000000745,9974004.469999999,10464.441609999281,2.62192832305376,0.0,0.0,0.0,9,-0.887094585403879,,,-0.0015531088389998393,0.07599036285874983,0.0,-0.5389635613037486,2.992587957470606,-0.01178568582593051,2017-12,"[0.22421501576900482, 0.7761840224266052, -0.4781540632247925, 0.8057823181152344, -0.32802727818489075]"
2017-12-29 21:00:00+00:00,2017-12-29 14:31:00+00:00,2017-12-29 21:00:00+00:00,"[{'sid': Equity(4 [VWO]), 'amount': 49149, 'cost_basis': 45.492734999999996, 'last_sale_price': 45.910000000000004}, {'sid': Equity(2 [SPY]), 'amount': 28962, 'cost_basis': 267.303585, 'last_sale_price': 266.86}, {'sid': Equity(3 [VNQ]), 'amount': -57964, 'cost_basis': 83.72764890923678, 'last_sale_price': 82.98}, {'sid': Equity(1 [LQD]), 'amount': 66496, 'cost_basis': 120.870405, 'last_sale_price': 121.56}, {'sid': Equity(0 [DBC]), 'amount': -198923, 'cost_basis': 16.163395636527703, 'last_sale_price': 16.61}]",0.9989498787724832,0.0,-8113963.75,10464.441609999281,-0.0019514858699535287,[],-8113963.75,18068483.67,9964984.361610001,9974004.469999999,9974004.469999999,9954519.920000002,[],18068483.67,2,3,-19484.54999999702,9954519.920000002,10464.441609999281,2.6274449080790943,0.0,0.0,0.0,10,-1.9169927886245708,,,-0.0035015638389995773,0.07220505463757515,0.0,-1.1915769233426987,2.992587957470606,-0.012244362375277066,2017-12,"[0.22421501576900482, 0.7761840224266052, -0.4781540632247925, 0.8057823181152344, -0.32802727818489075]"
