,period_open,period_close,starting_value,ending_value,starting_cash,ending_cash,returns,portfolio_value,longs_count,shorts_count,long_value,short_value,long_exposure,pnl,short_exposure,capital_used,orders,transactions,gross_leverage,positions,net_leverage,starting_exposure,ending_exposure,sortino,max_drawdown,max_leverage,excess_return,treasury_period_return,trading_days,period_label,algorithm_period_return,algo_volatility,benchmark_period_return,benchmark_volatility,alpha,beta,sharpe,weights
2020-12-15 21:00:00+00:00,2020-12-15 14:31:00+00:00,2020-12-15 21:00:00+00:00,0.0,0.0,10000000.0,10000000.0,0.0,10000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1,2020-12,0.0,,0.0,,,,,
2020-12-16 21:00:00+00:00,2020-12-16 14:31:00+00:00,2020-12-16 21:00:00+00:00,0.0,0.0,10000000.0,10000000.0,0.0,10000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2,2020-12,0.0,0.0,0.0,0.0,,,,
2020-12-17 21:00:00+00:00,2020-12-17 14:31:00+00:00,2020-12-17 21:00:00+00:00,0.0,0.0,10000000.0,10000000.0,0.0,10000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,,0.0,0.0,0.0,0.0,3,2020-12,0.0,0.0,0.0,0.0,,,,
2020-12-18 21:00:00+00:00,2020-12-18 14:31:00+00:00,2020-12-18 21:00:00+00:00,0.0,0.0,10000000.0,10000000.0,0.0,10000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,,0.0,0.0,0.0,0.0,4,2020-12,0.0,0.0,0.0,0.0,,,,
2020-12-21 21:00:00+00:00,2020-12-21 14:31:00+00:00,2020-12-21 21:00:00+00:00,0.0,0.0,10000000.0,10000000.0,0.0,10000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'id': '6dd70554d62d425cb2265e17be337713', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 1072, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'fe624cb2a0724ad59be095a5e17482cd', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 5944, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'f4fe70504cfc4c36924b1a000048f8e3', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 28671, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '60357c40b0a64d8b821a27ca4958840b', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 16605, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'be7461ff25624fe58fdde4f8fc208350', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 210874, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",[],0.0,[],0.0,0.0,0.0,,0.0,0.0,0.0,0.0,5,2020-12,0.0,0.0,0.0,0.0,,,,"[0.005262723192572594, 0.21868346631526947, 0.24212715029716492, 0.22731541097164154, 0.3066112697124481]"
2020-12-22 21:00:00+00:00,2020-12-22 14:31:00+00:00,2020-12-22 21:00:00+00:00,0.0,9158810.75,10000000.0,836609.8446249994,-0.0004579405375000345,9995420.594625,5,0,9158810.75,0.0,9158810.75,-4579.405375000089,0.0,-9163390.155375002,"[{'id': '6dd70554d62d425cb2265e17be337713', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 1072, 'filled': 1072, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'fe624cb2a0724ad59be095a5e17482cd', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 5944, 'filled': 5944, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'f4fe70504cfc4c36924b1a000048f8e3', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 28671, 'filled': 28671, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '60357c40b0a64d8b821a27ca4958840b', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 16605, 'filled': 16605, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'be7461ff25624fe58fdde4f8fc208350', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 210874, 'filled': 153420, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]","[{'amount': 1072, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 48.72435, 'order_id': '6dd70554d62d425cb2265e17be337713', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 5944, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 367.42362, 'order_id': 'fe624cb2a0724ad59be095a5e17482cd', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 28671, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 85.08252, 'order_id': 'f4fe70504cfc4c36924b1a000048f8e3', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 16605, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 137.338635, 'order_id': '60357c40b0a64d8b821a27ca4958840b', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 153420, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 14.38719, 'order_id': 'be7461ff25624fe58fdde4f8fc208350', 'sid': Equity(0 [DBC]), 'commission': None}]",0.9163006862287633,"[{'sid': Equity(4 [VWO]), 'amount': 1072, 'cost_basis': 48.72435, 'last_sale_price': 48.7}, {'sid': Equity(2 [SPY]), 'amount': 5944, 'cost_basis': 367.42362, 'last_sale_price': 367.24}, {'sid': Equity(3 [VNQ]), 'amount': 28671, 'cost_basis': 85.08252, 'last_sale_price': 85.04}, {'sid': Equity(1 [LQD]), 'amount': 16605, 'cost_basis': 137.338635, 'last_sale_price': 137.27}, {'sid': Equity(0 [DBC]), 'amount': 153420, 'cost_basis': 14.387190000000002, 'last_sale_price': 14.38}]",0.9163006862287633,0.0,9158810.75,-6.4807406984078595,-0.0004579405375000078,0.9163006862287633,0.0,0.0,6,2020-12,-0.0004579405375000345,0.0029677938788272447,0.0,0.0,,,-6.48074069840786,"[0.005262723192572594, 0.21868346631526947, 0.24212715029716492, 0.22731541097164154, 0.3066112697124481]"
2020-12-23 21:00:00+00:00,2020-12-23 14:31:00+00:00,2020-12-23 21:00:00+00:00,9158810.75,10010183.209999999,836609.8446249994,-338.66049500054214,0.0014430563219876014,10009844.549505,5,0,10010183.209999999,0.0,10010183.209999999,14423.95487999916,0.0,-836948.5051199999,"[{'id': 'be7461ff25624fe58fdde4f8fc208350', 'dt': Timestamp('2020-12-23 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 210874, 'filled': 210874, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]","[{'amount': 57454, 'dt': Timestamp('2020-12-23 21:00:00+0000', tz='UTC'), 'price': 14.56728, 'order_id': 'be7461ff25624fe58fdde4f8fc208350', 'sid': Equity(0 [DBC]), 'commission': None}]",1.000033832742689,"[{'sid': Equity(4 [VWO]), 'amount': 1072, 'cost_basis': 48.72435, 'last_sale_price': 49.2}, {'sid': Equity(2 [SPY]), 'amount': 5944, 'cost_basis': 367.42362, 'last_sale_price': 367.57}, {'sid': Equity(3 [VNQ]), 'amount': 28671, 'cost_basis': 85.08252, 'last_sale_price': 84.49}, {'sid': Equity(1 [LQD]), 'amount': 16605, 'cost_basis': 137.338635, 'last_sale_price': 137.3}, {'sid': Equity(0 [DBC]), 'amount': 210874, 'cost_basis': 14.436256697933365, 'last_sale_price': 14.56}]",1.000033832742689,9158810.75,10010183.209999999,12.907122700236942,-0.0004579405375000078,1.000033832742689,0.0,0.0,7,2020-12,0.0009844549504998135,0.009510329483678116,0.0,0.0,,,3.729015729940479,"[0.005262723192572594, 0.21868346631526947, 0.24212715029716492, 0.22731541097164154, 0.3066112697124481]"
2020-12-24 18:00:00+00:00,2020-12-24 14:31:00+00:00,2020-12-24 18:00:00+00:00,10010183.209999999,10017132.97,-338.66049500054214,-338.66049500054214,0.0006942925003110556,10016794.309505,5,0,10017132.97,0.0,10017132.97,6949.760000001639,0.0,0.0,[],[],1.000033809269167,"[{'sid': Equity(4 [VWO]), 'amount': 1072, 'cost_basis': 48.72435, 'last_sale_price': 48.92}, {'sid': Equity(2 [SPY]), 'amount': 5944, 'cost_basis': 367.42362, 'last_sale_price': 369.0}, {'sid': Equity(3 [VNQ]), 'amount': 28671, 'cost_basis': 85.08252, 'last_sale_price': 83.88}, {'sid': Equity(1 [LQD]), 'amount': 16605, 'cost_basis': 137.338635, 'last_sale_price': 137.77}, {'sid': Equity(0 [DBC]), 'amount': 210874, 'cost_basis': 14.436256697933365, 'last_sale_price': 14.6}]",1.000033809269167,10010183.209999999,10017132.97,20.58270637667335,-0.0004579405375000078,1.000033832742689,0.0,0.0,8,2020-12,0.0016794309504999383,0.009336916992731571,0.0,0.0,,,5.665827490202417,"[0.005262723192572594, 0.21868346631526947, 0.24212715029716492, 0.22731541097164154, 0.3066112697124481]"
2020-12-28 21:00:00+00:00,2020-12-28 14:31:00+00:00,2020-12-28 21:00:00+00:00,10017132.97,10032933.940000001,-338.66049500054214,-338.66049500054214,0.0015774477853665037,10032595.279505001,5,0,10032933.940000001,0.0,10032933.940000001,15800.97000000067,0.0,0.0,"[{'id': '4272a19cc2414030954d73b65f8c6cf6', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 8962, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '488d7fdd584d421d8984bebfebda5809', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 401, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '73d25dc8a9f34462b562f4feb6d08fc2', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 1299, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '5ed5af17275c43559822c06516e413ec', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -611, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'd6c51f9ce381409a8acc3a5d5884ddc2', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -42357, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",[],1.0000337560208066,"[{'sid': Equity(4 [VWO]), 'amount': 1072, 'cost_basis': 48.72435, 'last_sale_price': 49.02}, {'sid': Equity(2 [SPY]), 'amount': 5944, 'cost_basis': 367.42362, 'last_sale_price': 372.17}, {'sid': Equity(3 [VNQ]), 'amount': 28671, 'cost_basis': 85.08252, 'last_sale_price': 84.38}, {'sid': Equity(1 [LQD]), 'amount': 16605, 'cost_basis': 137.338635, 'last_sale_price': 137.86}, {'sid': Equity(0 [DBC]), 'amount': 210874, 'cost_basis': 14.436256697933365, 'last_sale_price': 14.51}]",1.0000337560208066,10017132.97,10032933.940000001,37.63296983765017,-0.0004579405375000078,1.000033832742689,0.0,0.0,9,2020-12,0.0032595279504998853,0.011342134154267096,0.0,0.0,,,8.040106802150248,"[0.0490298718214035, 0.23541028797626495, 0.25206735730171204, 0.2197691649198532, 0.2437233328819275]"
2020-12-29 21:00:00+00:00,2020-12-29 14:31:00+00:00,2020-12-29 21:00:00+00:00,10032933.940000001,10019203.43,-338.66049500054214,-2173.2206800006097,-0.0015514500237838735,10017030.20932,5,0,10019203.43,0.0,10019203.43,-15565.07018500194,0.0,-1834.5601849965751,"[{'id': '4272a19cc2414030954d73b65f8c6cf6', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 8962, 'filled': 8962, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '488d7fdd584d421d8984bebfebda5809', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 401, 'filled': 401, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '73d25dc8a9f34462b562f4feb6d08fc2', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 1299, 'filled': 1299, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '5ed5af17275c43559822c06516e413ec', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -611, 'filled': -611, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'd6c51f9ce381409a8acc3a5d5884ddc2', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -42357, 'filled': -42357, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]","[{'amount': 8962, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 49.574775, 'order_id': '4272a19cc2414030954d73b65f8c6cf6', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 401, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 371.64572999999996, 'order_id': '488d7fdd584d421d8984bebfebda5809', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 1299, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 83.70183, 'order_id': '73d25dc8a9f34462b562f4feb6d08fc2', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': -611, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 137.85104, 'order_id': '5ed5af17275c43559822c06516e413ec', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': -42357, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 14.542725, 'order_id': 'd6c51f9ce381409a8acc3a5d5884ddc2', 'sid': Equity(0 [DBC]), 'commission': None}]",1.0002169525931925,"[{'sid': Equity(4 [VWO]), 'amount': 10034, 'cost_basis': 49.48391835260116, 'last_sale_price': 49.550000000000004}, {'sid': Equity(2 [SPY]), 'amount': 6345, 'cost_basis': 367.6904546903074, 'last_sale_price': 371.46}, {'sid': Equity(3 [VNQ]), 'amount': 29970, 'cost_basis': 85.02267627927928, 'last_sale_price': 83.66}, {'sid': Equity(1 [LQD]), 'amount': 15994, 'cost_basis': 137.338635, 'last_sale_price': 137.92000000000002}, {'sid': Equity(0 [DBC]), 'amount': 168517, 'cost_basis': 14.436256697933365, 'last_sale_price': 14.55}]",1.0002169525931925,10032933.940000001,10019203.43,5.292374211841462,-0.0015514500237838855,1.0002169525931925,0.0,0.0,10,2020-12,0.0017030209319996992,0.014373674007293993,0.0,0.0,,,2.9899267471210957,"[0.0490298718214035, 0.23541028797626495, 0.25206735730171204, 0.2197691649198532, 0.2437233328819275]"
