,period_open,period_close,longs_count,returns,transactions,shorts_count,portfolio_value,starting_exposure,pnl,starting_value,short_exposure,ending_value,positions,long_exposure,orders,ending_exposure,net_leverage,starting_cash,gross_leverage,capital_used,ending_cash,long_value,short_value,algorithm_period_return,treasury_period_return,excess_return,algo_volatility,sortino,sharpe,max_leverage,trading_days,benchmark_period_return,benchmark_volatility,max_drawdown,period_label,alpha,beta,weights
2020-12-15 21:00:00+00:00,2020-12-15 14:31:00+00:00,2020-12-15 21:00:00+00:00,0,0.0,[],0,10000000.0,0.0,0.0,0.0,0.0,0.0,[],0.0,[],0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1,0.0,,0.0,2020-12,,,
2020-12-16 21:00:00+00:00,2020-12-16 14:31:00+00:00,2020-12-16 21:00:00+00:00,0,0.0,[],0,10000000.0,0.0,0.0,0.0,0.0,0.0,[],0.0,[],0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2,0.0,0.0,0.0,2020-12,,,
2020-12-17 21:00:00+00:00,2020-12-17 14:31:00+00:00,2020-12-17 21:00:00+00:00,0,0.0,[],0,10000000.0,0.0,0.0,0.0,0.0,0.0,[],0.0,[],0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,3,0.0,0.0,0.0,2020-12,,,
2020-12-18 21:00:00+00:00,2020-12-18 14:31:00+00:00,2020-12-18 21:00:00+00:00,0,0.0,[],0,10000000.0,0.0,0.0,0.0,0.0,0.0,[],0.0,[],0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,4,0.0,0.0,0.0,2020-12,,,
2020-12-21 21:00:00+00:00,2020-12-21 14:31:00+00:00,2020-12-21 21:00:00+00:00,0,0.0,[],0,10000000.0,0.0,0.0,0.0,0.0,0.0,[],0.0,"[{'id': '6be53fde251049ca90595e555f242c39', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 27184, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}]",0.0,0.0,10000000.0,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,5,0.0,0.0,0.0,2020-12,,,"[0, 1, 0, 0, 0]"
2020-12-22 21:00:00+00:00,2020-12-22 14:31:00+00:00,2020-12-22 21:00:00+00:00,1,-0.0004991526080001529,"[{'amount': 27184, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 367.42362, 'order_id': '6be53fde251049ca90595e555f242c39', 'sid': Equity(2 [SPY]), 'commission': None}]",0,9995008.473919999,0.0,-4991.526080001146,0.0,0.0,9983052.16,"[{'sid': Equity(2 [SPY]), 'amount': 27184, 'cost_basis': 367.42362, 'last_sale_price': 367.24}]",9983052.16,"[{'id': '6be53fde251049ca90595e555f242c39', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 27184, 'filled': 27184, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}]",9983052.16,0.9988037715074283,10000000.0,0.9988037715074283,-9988043.686080001,11956.313919998705,9983052.16,0.0,-0.0004991526080001529,0.0,0.0,0.0032348786213830163,-6.48074069840786,-6.4807406984078595,0.9988037715074283,6,0.0,0.0,-0.0004991526080002018,2020-12,,,"[0, 1, 0, 0, 0]"
2020-12-23 21:00:00+00:00,2020-12-23 14:31:00+00:00,2020-12-23 21:00:00+00:00,1,0.0008975199994483152,[],0,10003979.193919998,9983052.16,8970.719999998808,9983052.16,0.0,9992022.879999999,"[{'sid': Equity(2 [SPY]), 'amount': 27184, 'cost_basis': 367.42362, 'last_sale_price': 367.57}]",9992022.879999999,[],9992022.879999999,0.9988048441836759,11956.313919998705,0.9988048441836759,0.0,11956.313919998705,9992022.879999999,0.0,0.0003979193919996238,0.0,0.0,0.006583694289597077,4.788524211593904,2.178294656663277,0.9988048441836759,7,0.0,0.0,-0.0004991526080002018,2020-12,,,"[0, 1, 0, 0, 0]"
2020-12-24 18:00:00+00:00,2020-12-24 14:31:00+00:00,2020-12-24 18:00:00+00:00,1,0.003885765778444128,[],0,10042852.313919999,9992022.879999999,38873.12000000104,9992022.879999999,0.0,10030896.0,"[{'sid': Equity(2 [SPY]), 'amount': 27184, 'cost_basis': 367.42362, 'last_sale_price': 369.0}]",10030896.0,[],10030896.0,0.9988094703032299,11956.313919998705,0.9988094703032299,0.0,11956.313919998705,10030896.0,0.0,0.004285231391999655,0.0,0.0,0.02233712772933461,48.17091485890574,6.041519594051546,0.9988094703032299,8,0.0,0.0,-0.0004991526080002018,2020-12,,,"[0, 1, 0, 0, 0]"
2020-12-28 21:00:00+00:00,2020-12-28 14:31:00+00:00,2020-12-28 21:00:00+00:00,1,0.008580558322117238,[],0,10129025.59392,10030896.0,86173.28000000119,10030896.0,0.0,10117069.280000001,"[{'sid': Equity(2 [SPY]), 'amount': 27184, 'cost_basis': 367.42362, 'last_sale_price': 372.17}]",10117069.280000001,"[{'id': '9f848681ef1e43e39a1e805547b57ec6', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 32, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}]",10117069.280000001,0.9988195988045311,11956.313919998705,0.9988195988045311,0.0,11956.313919998705,10117069.280000001,0.0,0.012902559391999802,0.0,0.0,0.04742166531938159,136.3782291664006,7.595923916848312,0.9988195988045311,9,0.0,0.0,-0.0004991526080002018,2020-12,,,"[0, 1, 0, 0, 0]"
2020-12-29 21:00:00+00:00,2020-12-29 14:31:00+00:00,2020-12-29 21:00:00+00:00,1,-0.0019060652163412906,"[{'amount': 32, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 371.64572999999996, 'order_id': '9f848681ef1e43e39a1e805547b57ec6', 'sid': Equity(2 [SPY]), 'commission': None}]",0,10109719.010559998,10117069.280000001,-19306.583360001445,10117069.280000001,0.0,10109655.36,"[{'sid': Equity(2 [SPY]), 'amount': 27216, 'cost_basis': 367.42858426807766, 'last_sale_price': 371.46}]",10109655.36,"[{'id': '9f848681ef1e43e39a1e805547b57ec6', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 32, 'filled': 32, 'commission': 0.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}]",10109655.36,0.9999937040228386,11956.313919998705,0.9999937040228386,-11892.663359999657,63.65055999870674,10109655.36,0.0,0.010971901055999655,0.0,0.0,0.04774207851886838,27.919993462551794,5.7843602690590465,0.9999937040228386,10,0.0,0.0,-0.0019060652163412953,2020-12,,,"[0, 1, 0, 0, 0]"
