,period_open,period_close,ending_value,transactions,positions,starting_cash,capital_used,portfolio_value,short_value,long_exposure,orders,longs_count,ending_cash,short_exposure,pnl,returns,starting_value,net_leverage,starting_exposure,gross_leverage,ending_exposure,shorts_count,long_value,max_drawdown,sharpe,treasury_period_return,sortino,algo_volatility,period_label,benchmark_period_return,benchmark_volatility,trading_days,algorithm_period_return,max_leverage,alpha,beta,excess_return,weights
2020-12-15 21:00:00+00:00,2020-12-15 14:31:00+00:00,2020-12-15 21:00:00+00:00,0.0,[],[],10000000.0,0.0,10000000.0,0.0,0.0,[],0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,0.0,,,2020-12,0.0,,1,0.0,0.0,,,0.0,
2020-12-16 21:00:00+00:00,2020-12-16 14:31:00+00:00,2020-12-16 21:00:00+00:00,0.0,[],[],10000000.0,0.0,10000000.0,0.0,0.0,[],0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,0.0,,0.0,2020-12,0.0,0.0,2,0.0,0.0,,,0.0,
2020-12-17 21:00:00+00:00,2020-12-17 14:31:00+00:00,2020-12-17 21:00:00+00:00,0.0,[],[],10000000.0,0.0,10000000.0,0.0,0.0,[],0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,0.0,,0.0,2020-12,0.0,0.0,3,0.0,0.0,,,0.0,
2020-12-18 21:00:00+00:00,2020-12-18 14:31:00+00:00,2020-12-18 21:00:00+00:00,0.0,[],[],10000000.0,0.0,10000000.0,0.0,0.0,[],0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,0.0,,0.0,2020-12,0.0,0.0,4,0.0,0.0,,,0.0,
2020-12-21 21:00:00+00:00,2020-12-21 14:31:00+00:00,2020-12-21 21:00:00+00:00,0.0,[],[],10000000.0,0.0,10000000.0,0.0,0.0,"[{'id': '17d909904e5c4f17988199d87e43a9b9', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -61789, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'db56990ddfe348f0ab27fff8bedf6d3c', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 21718, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'a96b1197fcd64e7ca2bc466173129652', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -37974, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '35af1d05f90845a7923a56f47f2939b1', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 30346, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'abef77f2d4bb452f8107cd21fe564923', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 281627, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,0.0,,0.0,2020-12,0.0,0.0,5,0.0,0.0,,,0.0,"[-0.30313897132873535, 0.7989324331283569, -0.32069849967956543, 0.4154183268547058, 0.40948671102523804]"
2020-12-22 21:00:00+00:00,2020-12-22 14:31:00+00:00,2020-12-22 21:00:00+00:00,8109060.079999999,"[{'amount': -61789, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 48.675650000000005, 'order_id': '17d909904e5c4f17988199d87e43a9b9', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 21718, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 367.42362, 'order_id': 'db56990ddfe348f0ab27fff8bedf6d3c', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': -37974, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 84.99748000000001, 'order_id': 'a96b1197fcd64e7ca2bc466173129652', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 30346, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 137.338635, 'order_id': '35af1d05f90845a7923a56f47f2939b1', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 153420, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 14.38719, 'order_id': 'abef77f2d4bb452f8107cd21fe564923', 'sid': Equity(0 [DBC]), 'commission': None}]","[{'sid': Equity(4 [VWO]), 'amount': -61789, 'cost_basis': 48.626974350000005, 'last_sale_price': 48.7}, {'sid': Equity(2 [SPY]), 'amount': 21718, 'cost_basis': 367.79104362000004, 'last_sale_price': 367.24}, {'sid': Equity(3 [VNQ]), 'amount': -37974, 'cost_basis': 84.91248252000001, 'last_sale_price': 85.04}, {'sid': Equity(1 [LQD]), 'amount': 30346, 'cost_basis': 137.475973635, 'last_sale_price': 137.27}, {'sid': Equity(0 [DBC]), 'amount': 153420, 'cost_basis': 14.401577190000001, 'last_sale_price': 14.38}]",10000000.0,-8139943.024430039,9969117.055569956,-6238433.260000001,14347493.34,"[{'id': '17d909904e5c4f17988199d87e43a9b9', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -61789, 'filled': -61789, 'commission': 3007.6197378500005, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'db56990ddfe348f0ab27fff8bedf6d3c', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 21718, 'filled': 21718, 'commission': 7979.706179160002, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'a96b1197fcd64e7ca2bc466173129652', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -37974, 'filled': -37974, 'commission': 3227.6943055200004, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '35af1d05f90845a7923a56f47f2939b1', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 30346, 'filled': 30346, 'commission': 4167.67821771, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'abef77f2d4bb452f8107cd21fe564923', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 281627, 'filled': 153420, 'commission': 2207.2826898000003, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",3,1860056.9755699576,-6238433.260000001,-30882.94443004392,-0.0030882944430044024,0.0,0.8134180825441604,0.0,2.0649698950518602,8109060.079999999,2,14347493.34,-0.003088294443004429,-6.480740698407861,0.0,-6.4807406984078595,0.020014435485445466,2020-12,0.0,0.0,6,-0.0030882944430044024,2.0649698950518602,,,0.0,"[-0.30313897132873535, 0.7989324331283569, -0.32069849967956543, 0.4154183268547058, 0.40948671102523804]"
2020-12-23 21:00:00+00:00,2020-12-23 14:31:00+00:00,2020-12-23 21:00:00+00:00,10001438.12,"[{'amount': 128207, 'dt': Timestamp('2020-12-23 21:00:00+0000', tz='UTC'), 'price': 14.56728, 'order_id': 'abef77f2d4bb452f8107cd21fe564923', 'sid': Equity(0 [DBC]), 'commission': None}]","[{'sid': Equity(4 [VWO]), 'amount': -61789, 'cost_basis': 48.626974350000005, 'last_sale_price': 49.2}, {'sid': Equity(2 [SPY]), 'amount': 21718, 'cost_basis': 367.79104362000004, 'last_sale_price': 367.57}, {'sid': Equity(3 [VNQ]), 'amount': -37974, 'cost_basis': 84.91248252000001, 'last_sale_price': 84.49}, {'sid': Equity(1 [LQD]), 'amount': 30346, 'cost_basis': 137.475973635, 'last_sale_price': 137.3}, {'sid': Equity(0 [DBC]), 'amount': 281627, 'cost_basis': 14.48364278537484, 'last_sale_price': 14.56}]",1860056.9755699576,-1869494.89422696,9992000.201342996,-6248442.0600000005,16249880.18,"[{'id': 'abef77f2d4bb452f8107cd21fe564923', 'dt': Timestamp('2020-12-23 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 281627, 'filled': 281627, 'commission': 4074.9099567600006, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",3,-9437.918657002287,-6248442.0600000005,22883.14577304013,0.002295403459050993,8109060.079999999,1.0009445474846703,8109060.079999999,2.2516334854532998,10001438.12,2,16249880.18,-0.003088294443004429,-1.1481196981809045,0.0,-1.5404444075909876,0.024861584961523034,2020-12,0.0,0.0,7,-0.000799979865700462,2.2516334854532998,,,0.0,"[-0.30313897132873535, 0.7989324331283569, -0.32069849967956543, 0.4154183268547058, 0.40948671102523804]"
2020-12-24 18:00:00+00:00,2020-12-24 14:31:00+00:00,2020-12-24 18:00:00+00:00,10098487.62,[],"[{'sid': Equity(4 [VWO]), 'amount': -61789, 'cost_basis': 48.626974350000005, 'last_sale_price': 48.92}, {'sid': Equity(2 [SPY]), 'amount': 21718, 'cost_basis': 367.79104362000004, 'last_sale_price': 369.0}, {'sid': Equity(3 [VNQ]), 'amount': -37974, 'cost_basis': 84.91248252000001, 'last_sale_price': 83.88}, {'sid': Equity(1 [LQD]), 'amount': 30346, 'cost_basis': 137.475973635, 'last_sale_price': 137.77}, {'sid': Equity(0 [DBC]), 'amount': 281627, 'cost_basis': 14.48364278537484, 'last_sale_price': 14.6}]",-9437.918657002287,0.0,10089049.701342996,-6207977.0,16306464.62,[],3,-9437.918657002287,-6207977.0,97049.5,0.009712719980425444,10001438.12,1.000935461608019,10001438.12,2.2315720792814613,10098487.62,2,16306464.62,-0.003088294443004429,4.701803582324055,0.0,16.210376634752638,0.059758900700395946,2020-12,0.0,0.0,8,0.008904970134299361,2.2516334854532998,,,0.0,"[-0.30313897132873535, 0.7989324331283569, -0.32069849967956543, 0.4154183268547058, 0.40948671102523804]"
2020-12-28 21:00:00+00:00,2020-12-28 14:31:00+00:00,2020-12-28 21:00:00+00:00,10119552.49,[],"[{'sid': Equity(4 [VWO]), 'amount': -61789, 'cost_basis': 48.626974350000005, 'last_sale_price': 49.02}, {'sid': Equity(2 [SPY]), 'amount': 21718, 'cost_basis': 367.79104362000004, 'last_sale_price': 372.17}, {'sid': Equity(3 [VNQ]), 'amount': -37974, 'cost_basis': 84.91248252000001, 'last_sale_price': 84.38}, {'sid': Equity(1 [LQD]), 'amount': 30346, 'cost_basis': 137.475973635, 'last_sale_price': 137.86}, {'sid': Equity(0 [DBC]), 'amount': 281627, 'cost_basis': 14.48364278537484, 'last_sale_price': 14.51}]",-9437.918657002287,0.0,10110114.571342997,-6233142.9,16352695.39,"[{'id': 'ef03d6a365ba4a0eb28acee7ffee358e', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 45385, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '0f1879ac62154d6292dfdf97f291397f', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 1581, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '0d35d9519c054b5d8d6fae8bc353da7f', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 10523, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'c21034f6b8ee483b8e87a2ec8a0527fe', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 7751, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '38d533df2a24412d84d6f6d1aa916dd6', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -329394, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",3,-9437.918657002287,-6233142.9,21064.870000001043,0.0020878943630535662,10098487.62,1.0009335125324648,10098487.62,2.233984405480359,10119552.49,2,16352695.39,-0.003088294443004429,5.490537332285145,0.0,18.860700653897894,0.05613589989714872,2020-12,0.0,0.0,9,0.011011457134299407,2.2516334854532998,,,0.0,"[-0.07953649759292603, 0.8577050566673279, -0.2291043996810913, 0.51949143409729, -0.06855572760105133]"
2020-12-29 21:00:00+00:00,2020-12-29 14:31:00+00:00,2020-12-29 21:00:00+00:00,12983963.77,"[{'amount': 45385, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 49.574775, 'order_id': 'ef03d6a365ba4a0eb28acee7ffee358e', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 1581, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 371.64572999999996, 'order_id': '0f1879ac62154d6292dfdf97f291397f', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 10523, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 83.70183, 'order_id': '0d35d9519c054b5d8d6fae8bc353da7f', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 7751, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 137.98896000000002, 'order_id': 'c21034f6b8ee483b8e87a2ec8a0527fe', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': -131500, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 14.542725, 'order_id': '38d533df2a24412d84d6f6d1aa916dd6', 'sid': Equity(0 [DBC]), 'commission': None}]","[{'sid': Equity(4 [VWO]), 'amount': -16404, 'cost_basis': 48.48981565923098, 'last_sale_price': 49.550000000000004}, {'sid': Equity(2 [SPY]), 'amount': 23299, 'cost_basis': 368.0778297939092, 'last_sale_price': 371.46}, {'sid': Equity(3 [VNQ]), 'amount': -27451, 'cost_basis': 84.88039646276751, 'last_sale_price': 83.66}, {'sid': Equity(1 [LQD]), 'amount': 38097, 'cost_basis': 137.60841739025827, 'last_sale_price': 137.92000000000002}, {'sid': Equity(0 [DBC]), 'amount': 150127, 'cost_basis': 14.496381122499407, 'last_sale_price': 14.55}]",-9437.918657002287,-2882201.749241056,10092324.102101943,-3109368.86,16093332.629999999,"[{'id': 'ef03d6a365ba4a0eb28acee7ffee358e', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 45385, 'filled': 45385, 'commission': 2249.951163375, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '0f1879ac62154d6292dfdf97f291397f', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 1581, 'filled': 1581, 'commission': 587.5718991299999, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '0d35d9519c054b5d8d6fae8bc353da7f', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 10523, 'filled': 10523, 'commission': 880.7943570900001, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'c21034f6b8ee483b8e87a2ec8a0527fe', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 7751, 'filled': 7751, 'commission': 1069.5524289600003, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '38d533df2a24412d84d6f6d1aa916dd6', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -329394, 'filled': -131500, 'commission': 1912.3683375, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",3,-2891639.6678980566,-3109368.86,-17790.46924105473,-0.0017596703890460086,10119552.49,1.2865187085396723,10119552.49,1.9027036087753686,12983963.77,2,16093332.629999999,-0.003088294443004429,4.23707894384458,0.0,13.06111040982205,0.05500273607001132,2020-12,0.0,0.0,10,0.009232410210193942,2.2516334854532998,,,0.0,"[-0.07953649759292603, 0.8577050566673279, -0.2291043996810913, 0.51949143409729, -0.06855572760105133]"
