,period_open,period_close,ending_cash,gross_leverage,starting_cash,longs_count,returns,ending_exposure,long_exposure,ending_value,portfolio_value,starting_value,starting_exposure,net_leverage,long_value,shorts_count,short_value,transactions,short_exposure,positions,capital_used,orders,pnl,excess_return,treasury_period_return,sortino,algo_volatility,alpha,beta,trading_days,algorithm_period_return,max_leverage,sharpe,max_drawdown,period_label,benchmark_period_return,benchmark_volatility,weights
2020-12-15 21:00:00+00:00,2020-12-15 14:31:00+00:00,2020-12-15 21:00:00+00:00,10000000.0,0.0,10000000.0,0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0,0.0,[],0.0,[],0.0,[],0.0,0.0,0.0,,,,,1,0.0,0.0,,0.0,2020-12,0.0,,
2020-12-16 21:00:00+00:00,2020-12-16 14:31:00+00:00,2020-12-16 21:00:00+00:00,10000000.0,0.0,10000000.0,0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0,0.0,[],0.0,[],0.0,[],0.0,0.0,0.0,,0.0,,,2,0.0,0.0,,0.0,2020-12,0.0,0.0,
2020-12-17 21:00:00+00:00,2020-12-17 14:31:00+00:00,2020-12-17 21:00:00+00:00,10000000.0,0.0,10000000.0,0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0,0.0,[],0.0,[],0.0,[],0.0,0.0,0.0,,0.0,,,3,0.0,0.0,,0.0,2020-12,0.0,0.0,
2020-12-18 21:00:00+00:00,2020-12-18 14:31:00+00:00,2020-12-18 21:00:00+00:00,10000000.0,0.0,10000000.0,0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0,0.0,[],0.0,[],0.0,[],0.0,0.0,0.0,,0.0,,,4,0.0,0.0,,0.0,2020-12,0.0,0.0,
2020-12-21 21:00:00+00:00,2020-12-21 14:31:00+00:00,2020-12-21 21:00:00+00:00,10000000.0,0.0,10000000.0,0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0,0.0,[],0.0,[],0.0,"[{'id': 'b89f29b579a148249b3ff309931dd753', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -6550, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'fbf5f9b006ea4115b71e0d0cabca82c8', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 5686, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'c6197b4d9b1a4c6daee049096e4acf7d', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -5141, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'ecd12037ee184ed3bcd101fcc82d6ab8', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 47847, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '52e703898c6d4e6a8c6b3a8ef402b7f9', 'dt': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 145371, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",0.0,0.0,0.0,,0.0,,,5,0.0,0.0,,0.0,2020-12,0.0,0.0,"[-0.032136496156454086, 0.20919646322727203, -0.04341764748096466, 0.6549878716468811, 0.21136978268623352]"
2020-12-22 21:00:00+00:00,2020-12-22 14:31:00+00:00,2020-12-22 21:00:00+00:00,-7602.707596836515,1.1522581817279707,10000000.0,3,-0.0017259037596836224,9990343.67,10746519.31,9990343.67,9982740.962403163,0.0,0.0,1.0007615851824132,10746519.31,2,-756175.64,"[{'amount': -6550, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 48.675650000000005, 'order_id': 'b89f29b579a148249b3ff309931dd753', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 5686, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 367.42362, 'order_id': 'fbf5f9b006ea4115b71e0d0cabca82c8', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': -5141, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 84.99748000000001, 'order_id': 'c6197b4d9b1a4c6daee049096e4acf7d', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 47847, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 137.338635, 'order_id': 'ecd12037ee184ed3bcd101fcc82d6ab8', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': 145371, 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'price': 14.38719, 'order_id': '52e703898c6d4e6a8c6b3a8ef402b7f9', 'sid': Equity(0 [DBC]), 'commission': None}]",-756175.64,"[{'sid': Equity(4 [VWO]), 'amount': -6550, 'cost_basis': 48.626974350000005, 'last_sale_price': 48.7}, {'sid': Equity(2 [SPY]), 'amount': 5686, 'cost_basis': 367.79104362000004, 'last_sale_price': 367.24}, {'sid': Equity(3 [VNQ]), 'amount': -5141, 'cost_basis': 84.91248252000001, 'last_sale_price': 85.04}, {'sid': Equity(1 [LQD]), 'amount': 47847, 'cost_basis': 137.475973635, 'last_sale_price': 137.27}, {'sid': Equity(0 [DBC]), 'amount': 145371, 'cost_basis': 14.401577190000001, 'last_sale_price': 14.38}]",-10007602.707596835,"[{'id': 'b89f29b579a148249b3ff309931dd753', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -6550, 'filled': -6550, 'commission': 318.82550750000007, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'fbf5f9b006ea4115b71e0d0cabca82c8', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 5686, 'filled': 5686, 'commission': 2089.1707033200005, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'c6197b4d9b1a4c6daee049096e4acf7d', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': -5141, 'filled': -5141, 'commission': 436.97204468000007, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'ecd12037ee184ed3bcd101fcc82d6ab8', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 47847, 'filled': 47847, 'commission': 6571.241668845, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '52e703898c6d4e6a8c6b3a8ef402b7f9', 'dt': Timestamp('2020-12-22 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-21 21:00:00+0000', tz='UTC'), 'amount': 145371, 'filled': 145371, 'commission': 2091.48019749, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",-17259.037596836686,0.0,0.0,-6.48074069840786,0.01118513473691679,,,6,-0.0017259037596836224,1.1522581817279707,-6.480740698407861,-0.001725903759683689,2020-12,0.0,0.0,"[-0.032136496156454086, 0.20919646322727203, -0.04341764748096466, 0.6549878716468811, 0.21136978268623352]"
2020-12-23 21:00:00+00:00,2020-12-23 14:31:00+00:00,2020-12-23 21:00:00+00:00,-7602.707596836515,1.151906063689754,-7602.707596836515,3,0.0029081311544933985,10019374.790000001,10775997.88,10019374.790000001,10011772.082403164,9990343.67,9990343.67,1.0007593768150396,10775997.88,2,-756623.09,[],-756623.09,"[{'sid': Equity(4 [VWO]), 'amount': -6550, 'cost_basis': 48.626974350000005, 'last_sale_price': 49.2}, {'sid': Equity(2 [SPY]), 'amount': 5686, 'cost_basis': 367.79104362000004, 'last_sale_price': 367.57}, {'sid': Equity(3 [VNQ]), 'amount': -5141, 'cost_basis': 84.91248252000001, 'last_sale_price': 84.49}, {'sid': Equity(1 [LQD]), 'amount': 47847, 'cost_basis': 137.475973635, 'last_sale_price': 137.3}, {'sid': Equity(0 [DBC]), 'amount': 145371, 'cost_basis': 14.401577190000001, 'last_sale_price': 14.56}]",0.0,[],29031.120000001043,0.0,0.0,4.109942010995416,0.021723830129551855,,,7,0.0011772082403165296,1.1522581817279707,1.9591474412817982,-0.001725903759683689,2020-12,0.0,0.0,"[-0.032136496156454086, 0.20919646322727203, -0.04341764748096466, 0.6549878716468811, 0.21136978268623352]"
2020-12-24 18:00:00+00:00,2020-12-24 14:31:00+00:00,2020-12-24 18:00:00+00:00,-7602.707596836515,1.1502916956030274,-7602.707596836515,3,0.004135523627507576,10060778.71,10812431.790000001,10060778.71,10053176.002403164,10019374.790000001,10019374.790000001,1.000756249328075,10812431.790000001,2,-751653.08,[],-751653.08,"[{'sid': Equity(4 [VWO]), 'amount': -6550, 'cost_basis': 48.626974350000005, 'last_sale_price': 48.92}, {'sid': Equity(2 [SPY]), 'amount': 5686, 'cost_basis': 367.79104362000004, 'last_sale_price': 369.0}, {'sid': Equity(3 [VNQ]), 'amount': -5141, 'cost_basis': 84.91248252000001, 'last_sale_price': 83.88}, {'sid': Equity(1 [LQD]), 'amount': 47847, 'cost_basis': 137.475973635, 'last_sale_price': 137.77}, {'sid': Equity(0 [DBC]), 'amount': 145371, 'cost_basis': 14.401577190000001, 'last_sale_price': 14.6}]",0.0,[],41403.919999999925,0.0,0.0,17.29285507552789,0.03000222998582675,,,8,0.005317600240316356,1.1522581817279707,5.583223556453271,-0.001725903759683689,2020-12,0.0,0.0,"[-0.032136496156454086, 0.20919646322727203, -0.04341764748096466, 0.6549878716468811, 0.21136978268623352]"
2020-12-28 21:00:00+00:00,2020-12-28 14:31:00+00:00,2020-12-28 21:00:00+00:00,-7602.707596836515,1.1508430267768919,-7602.707596836515,3,0.0005990107005546808,10066800.67,10821679.25,10066800.67,10059197.962403163,10060778.71,10060778.71,1.0007557965978253,10821679.25,2,-754878.58,[],-754878.58,"[{'sid': Equity(4 [VWO]), 'amount': -6550, 'cost_basis': 48.626974350000005, 'last_sale_price': 49.02}, {'sid': Equity(2 [SPY]), 'amount': 5686, 'cost_basis': 367.79104362000004, 'last_sale_price': 372.17}, {'sid': Equity(3 [VNQ]), 'amount': -5141, 'cost_basis': 84.91248252000001, 'last_sale_price': 84.38}, {'sid': Equity(1 [LQD]), 'amount': 47847, 'cost_basis': 137.475973635, 'last_sale_price': 137.86}, {'sid': Equity(0 [DBC]), 'amount': 145371, 'cost_basis': 14.401577190000001, 'last_sale_price': 14.51}]",0.0,"[{'id': 'e2041ca0e42d43a7b7c71d71c011c514', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -28265, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '892683a49d714a1999fcf3d8eb4183d6', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 1465, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '215d155c517640b3a9760aae4f52ba3c', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 3315, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '8591ba8e65b648e1a75b8ec1871b8699', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 12134, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'b810fee350ae4de1b93b987078d222e5', 'dt': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -77191, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.OPEN: 0>}]",6021.959999999031,0.0,0.0,18.140385867651244,0.028066670098440456,,,9,0.005919796240316355,1.1522581817279707,5.9027069352848685,-0.001725903759683689,2020-12,0.0,0.0,"[-0.16966266930103302, 0.2645837366580963, -0.015309475362300873, 0.8220419883728027, 0.09834641963243484]"
2020-12-29 21:00:00+00:00,2020-12-29 14:31:00+00:00,2020-12-29 21:00:00+00:00,13485.972391523479,1.3721164206421215,-7602.707596836515,3,-0.00026338282848614725,10043062.57,11920908.98,10043062.57,10056548.542391524,10066800.67,10066800.67,0.9986589859995528,11920908.98,2,-1877846.4100000001,"[{'amount': -28265, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 49.525225000000006, 'order_id': 'e2041ca0e42d43a7b7c71d71c011c514', 'sid': Equity(4 [VWO]), 'commission': None}, {'amount': 1465, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 371.64572999999996, 'order_id': '892683a49d714a1999fcf3d8eb4183d6', 'sid': Equity(2 [SPY]), 'commission': None}, {'amount': 3315, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 83.70183, 'order_id': '215d155c517640b3a9760aae4f52ba3c', 'sid': Equity(3 [VNQ]), 'commission': None}, {'amount': 12134, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 137.98896000000002, 'order_id': '8591ba8e65b648e1a75b8ec1871b8699', 'sid': Equity(1 [LQD]), 'commission': None}, {'amount': -77191, 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'price': 14.542725, 'order_id': 'b810fee350ae4de1b93b987078d222e5', 'sid': Equity(0 [DBC]), 'commission': None}]",-1877846.4100000001,"[{'sid': Equity(4 [VWO]), 'amount': -34815, 'cost_basis': 49.31602286752478, 'last_sale_price': 49.550000000000004}, {'sid': Equity(2 [SPY]), 'amount': 7151, 'cost_basis': 368.6568772853825, 'last_sale_price': 371.46}, {'sid': Equity(3 [VNQ]), 'amount': -1826, 'cost_basis': 84.76052656904164, 'last_sale_price': 83.66}, {'sid': Equity(1 [LQD]), 'amount': 59981, 'cost_basis': 137.6076642469196, 'last_sale_price': 137.92000000000002}, {'sid': Equity(0 [DBC]), 'amount': 68180, 'cost_basis': 14.418041952180625, 'last_sale_price': 14.55}]",21088.679988360032,"[{'id': 'e2041ca0e42d43a7b7c71d71c011c514', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -28265, 'filled': -28265, 'commission': 1399.8304846250003, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(4 [VWO]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '892683a49d714a1999fcf3d8eb4183d6', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 1465, 'filled': 1465, 'commission': 544.4609944499999, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2 [SPY]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '215d155c517640b3a9760aae4f52ba3c', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 3315, 'filled': 3315, 'commission': 277.47156645, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(3 [VNQ]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '8591ba8e65b648e1a75b8ec1871b8699', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': 12134, 'filled': 12134, 'commission': 1674.3580406400004, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1 [LQD]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'b810fee350ae4de1b93b987078d222e5', 'dt': Timestamp('2020-12-29 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2020-12-28 21:00:00+0000', tz='UTC'), 'amount': -77191, 'filled': -77191, 'commission': 1122.567485475, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(0 [DBC]), 'status': <ORDER_STATUS.FILLED: 1>}]",-2649.420011639595,0.0,0.0,16.255215793393678,0.02686220312642217,,,10,0.0056548542391523515,1.3721164206421215,5.3035541227961644,-0.001725903759683689,2020-12,0.0,0.0,"[-0.16966266930103302, 0.2645837366580963, -0.015309475362300873, 0.8220419883728027, 0.09834641963243484]"
